"","year","week","zone","spp","mosq","n_trap","abund"
"62",2019,27,"NW","Tarsalis",73,4,18.25
"63",2019,27,"SE","All",1209,15,80.6
"64",2019,27,"SE","Pipiens",26,15,1.73
"65",2019,27,"SE","Tarsalis",1183,15,78.87
"66",2019,27,"SW","All",31,4,7.75
"67",2019,27,"SW","Pipiens",1,4,0.25
"68",2019,27,"SW","Tarsalis",30,4,7.5
"69",2019,28,"BE","All",364,5,72.8
"70",2019,28,"BE","Tarsalis",364,5,72.8
"71",2019,28,"LV","All",1334,33,40.42
"72",2019,28,"LV","Pipiens",136,33,4.12
"73",2019,28,"LV","Tarsalis",1198,33,36.3
"74",2019,28,"NE","All",709,10,70.9
"75",2019,28,"NE","Pipiens",44,10,4.4
"76",2019,28,"NE","Tarsalis",665,10,66.5
"77",2019,28,"NW","All",128,7,18.29
"78",2019,28,"NW","Pipiens",19,7,2.71
"79",2019,28,"NW","Tarsalis",109,7,15.57
"80",2019,28,"SE","All",926,15,61.73
"81",2019,28,"SE","Pipiens",24,15,1.6
"82",2019,28,"SE","Tarsalis",902,15,60.13
"83",2019,28,"SW","All",136,8,17
"84",2019,28,"SW","Tarsalis",136,8,17
"85",2019,29,"BE","All",309,5,61.8
"86",2019,29,"BE","Pipiens",7,5,1.4
"87",2019,29,"BE","Tarsalis",302,5,60.4
"88",2019,29,"LV","All",1074,29,37.03
"89",2019,29,"LV","Pipiens",101,29,3.48
"90",2019,29,"LV","Tarsalis",973,29,33.55
"91",2019,29,"NE","All",380,10,38
"92",2019,29,"NE","Pipiens",24,10,2.4
"93",2019,29,"NE","Tarsalis",356,10,35.6
"94",2019,29,"NW","All",68,6,11.33
"95",2019,29,"NW","Pipiens",9,6,1.5
"96",2019,29,"NW","Tarsalis",59,6,9.83
"97",2019,29,"SE","All",868,15,57.87
"98",2019,29,"SE","Pipiens",49,15,3.27
"99",2019,29,"SE","Tarsalis",819,15,54.6
"100",2019,29,"SW","All",112,7,16
"101",2019,29,"SW","Pipiens",2,7,0.29
"102",2019,29,"SW","Tarsalis",110,7,15.71
"103",2019,30,"BE","All",354,5,70.8
"104",2019,30,"BE","Pipiens",33,5,6.6
"105",2019,30,"BE","Tarsalis",321,5,64.2
"106",2019,30,"LV","All",2691,36,74.75
"107",2019,30,"LV","Pipiens",134,36,3.72
"108",2019,30,"LV","Tarsalis",2557,36,71.03
"109",2019,30,"NE","All",1429,10,142.9
"110",2019,30,"NE","Pipiens",125,10,12.5
"111",2019,30,"NE","Tarsalis",1304,10,130.4
"112",2019,30,"NW","All",480,8,60
"113",2019,30,"NW","Pipiens",86,8,10.75
"114",2019,30,"NW","Tarsalis",394,8,49.25
"115",2019,30,"SE","All",1644,15,109.6
"116",2019,30,"SE","Pipiens",120,15,8
"117",2019,30,"SE","Tarsalis",1524,15,101.6
"118",2019,30,"SW","All",148,9,16.44
"119",2019,30,"SW","Pipiens",4,9,0.44
"120",2019,30,"SW","Tarsalis",144,9,16
"121",2019,31,"BE","All",452,5,90.4
"122",2019,31,"BE","Pipiens",38,5,7.6
"123",2019,31,"BE","Tarsalis",414,5,82.8
"124",2019,31,"LV","All",2248,37,60.76
"125",2019,31,"LV","Pipiens",140,37,3.78
"126",2019,31,"LV","Tarsalis",2108,37,56.97
"127",2019,31,"NE","All",1053,10,105.3
"128",2019,31,"NE","Pipiens",61,10,6.1
"129",2019,31,"NE","Tarsalis",992,10,99.2
"130",2019,31,"NW","All",434,9,48.22
"131",2019,31,"NW","Pipiens",70,9,7.78
"132",2019,31,"NW","Tarsalis",364,9,40.44
"133",2019,31,"SE","All",1275,15,85
"134",2019,31,"SE","Pipiens",137,15,9.13
"135",2019,31,"SE","Tarsalis",1138,15,75.87
"136",2019,31,"SW","All",221,8,27.62
"137",2019,31,"SW","Pipiens",7,8,0.88
"138",2019,31,"SW","Tarsalis",214,8,26.75
"139",2019,32,"BE","All",427,5,85.4
"140",2019,32,"BE","Pipiens",24,5,4.8
"141",2019,32,"BE","Tarsalis",403,5,80.6
"142",2019,32,"LV","All",1626,36,45.17
"143",2019,32,"LV","Pipiens",234,36,6.5
"144",2019,32,"LV","Tarsalis",1392,36,38.67
"145",2019,32,"NE","All",734,10,73.4
"146",2019,32,"NE","Pipiens",110,10,11
"147",2019,32,"NE","Tarsalis",624,10,62.4
"148",2019,32,"NW","All",461,8,57.62
"149",2019,32,"NW","Pipiens",68,8,8.5
"150",2019,32,"NW","Tarsalis",393,8,49.12
"151",2019,32,"SE","All",1638,14,117
"152",2019,32,"SE","Pipiens",137,14,9.79
"153",2019,32,"SE","Tarsalis",1501,14,107.21
"154",2019,32,"SW","All",260,7,37.14
"155",2019,32,"SW","Pipiens",23,7,3.29
"156",2019,32,"SW","Tarsalis",237,7,33.86
"157",2019,33,"BE","All",277,5,55.4
"158",2019,33,"BE","Pipiens",25,5,5
"159",2019,33,"BE","Tarsalis",252,5,50.4
"160",2019,33,"LV","All",1725,36,47.92
"161",2019,33,"LV","Pipiens",555,36,15.42
"162",2019,33,"LV","Tarsalis",1170,36,32.5
"163",2019,33,"NE","All",493,9,54.78
"164",2019,33,"NE","Pipiens",132,9,14.67
"165",2019,33,"NE","Tarsalis",361,9,40.11
"166",2019,33,"NW","All",366,8,45.75
"167",2019,33,"NW","Pipiens",86,8,10.75
"168",2019,33,"NW","Tarsalis",280,8,35
"169",2019,33,"SE","All",565,15,37.67
"170",2019,33,"SE","Pipiens",115,15,7.67
"171",2019,33,"SE","Tarsalis",450,15,30
"172",2019,33,"SW","All",303,9,33.67
"173",2019,33,"SW","Pipiens",6,9,0.67
"174",2019,33,"SW","Tarsalis",297,9,33
"175",2019,34,"BE","All",89,3,29.67
"176",2019,34,"BE","Pipiens",12,3,4
"177",2019,34,"BE","Tarsalis",77,3,25.67
"178",2019,34,"LV","All",978,36,27.17
"179",2019,34,"LV","Pipiens",291,36,8.08
"180",2019,34,"LV","Tarsalis",687,36,19.08
"181",2019,34,"NE","All",631,10,63.1
"182",2019,34,"NE","Pipiens",129,10,12.9
"183",2019,34,"NE","Tarsalis",502,10,50.2
"184",2019,34,"NW","All",270,9,30
"185",2019,34,"NW","Pipiens",61,9,6.78
"186",2019,34,"NW","Tarsalis",209,9,23.22
"187",2019,34,"SE","All",577,15,38.47
"188",2019,34,"SE","Pipiens",162,15,10.8
"189",2019,34,"SE","Tarsalis",415,15,27.67
"190",2019,34,"SW","All",131,9,14.56
"191",2019,34,"SW","Tarsalis",131,9,14.56
"192",2019,35,"BE","All",90,5,18
"193",2019,35,"BE","Pipiens",13,5,2.6
"194",2019,35,"BE","Tarsalis",77,5,15.4
"195",2019,35,"LV","All",399,16,24.94
"196",2019,35,"LV","Pipiens",107,16,6.69
"197",2019,35,"LV","Tarsalis",292,16,18.25
"198",2019,35,"NE","All",496,10,49.6
"199",2019,35,"NE","Pipiens",187,10,18.7
"200",2019,35,"NE","Tarsalis",309,10,30.9
"201",2019,35,"NW","All",165,7,23.57
"202",2019,35,"NW","Pipiens",35,7,5
"203",2019,35,"NW","Tarsalis",130,7,18.57
"204",2019,35,"SE","All",426,14,30.43
"205",2019,35,"SE","Pipiens",79,14,5.64
"206",2019,35,"SE","Tarsalis",347,14,24.79
"207",2019,35,"SW","All",261,9,29
"208",2019,35,"SW","Pipiens",21,9,2.33
"209",2019,35,"SW","Tarsalis",240,9,26.67
"210",2019,36,"NW","All",239,8,29.88
"211",2019,36,"NW","Pipiens",56,8,7
"212",2019,36,"NW","Tarsalis",183,8,22.88
"213",2019,36,"SE","All",40,2,20
"214",2019,36,"SE","Pipiens",6,2,3
"215",2019,36,"SE","Tarsalis",34,2,17
"216",2019,36,"SW","All",161,9,17.89
"217",2019,36,"SW","Pipiens",22,9,2.44
"218",2019,36,"SW","Tarsalis",139,9,15.44
"219",2020,23,"BE","All",3,2,1.5
"220",2020,23,"BE","Pipiens",1,2,0.5
"221",2020,23,"BE","Tarsalis",2,2,1
"222",2020,23,"LV","All",43,10,4.3
"223",2020,23,"LV","Pipiens",3,10,0.3
"224",2020,23,"LV","Tarsalis",40,10,4
"225",2020,23,"NE","All",10,6,1.67
"226",2020,23,"NE","Pipiens",2,6,0.33
"227",2020,23,"NE","Tarsalis",8,6,1.33
"228",2020,23,"NW","All",14,4,3.5
"229",2020,23,"NW","Pipiens",8,4,2
"230",2020,23,"NW","Tarsalis",6,4,1.5
"231",2020,24,"BE","All",11,4,2.75
"232",2020,24,"BE","Tarsalis",11,4,2.75
"233",2020,24,"LV","All",136,24,5.67
"234",2020,24,"LV","Pipiens",12,24,0.5
"235",2020,24,"LV","Tarsalis",124,24,5.17
"236",2020,24,"NE","All",45,10,4.5
"237",2020,24,"NE","Pipiens",10,10,1
"238",2020,24,"NE","Tarsalis",35,10,3.5
"239",2020,24,"NW","All",19,3,6.33
"240",2020,24,"NW","Pipiens",1,3,0.33
"241",2020,24,"NW","Tarsalis",18,3,6
"242",2020,24,"SE","All",111,15,7.4
"243",2020,24,"SE","Pipiens",8,15,0.53
"244",2020,24,"SE","Tarsalis",103,15,6.87
"245",2020,24,"SW","All",15,5,3
"246",2020,24,"SW","Pipiens",3,5,0.6
"247",2020,24,"SW","Tarsalis",12,5,2.4
"248",2020,25,"BE","All",10,2,5
"249",2020,25,"BE","Pipiens",3,2,1.5
"250",2020,25,"BE","Tarsalis",7,2,3.5
"251",2020,25,"LV","All",244,27,9.04
"252",2020,25,"LV","Pipiens",23,27,0.85
"253",2020,25,"LV","Tarsalis",221,27,8.19
"254",2020,25,"NE","All",47,10,4.7
"255",2020,25,"NE","Pipiens",9,10,0.9
"256",2020,25,"NE","Tarsalis",38,10,3.8
"257",2020,25,"NW","All",21,5,4.2
"258",2020,25,"NW","Pipiens",11,5,2.2
"259",2020,25,"NW","Tarsalis",10,5,2
"260",2020,25,"SE","All",223,14,15.93
"261",2020,25,"SE","Pipiens",16,14,1.14
"262",2020,25,"SE","Tarsalis",207,14,14.79
"263",2020,25,"SW","All",26,3,8.67
"264",2020,25,"SW","Pipiens",5,3,1.67
"265",2020,25,"SW","Tarsalis",21,3,7
"266",2020,26,"BE","All",49,4,12.25
"267",2020,26,"BE","Pipiens",6,4,1.5
"268",2020,26,"BE","Tarsalis",43,4,10.75
"269",2020,26,"LV","All",452,32,14.12
"270",2020,26,"LV","Pipiens",35,32,1.09
"271",2020,26,"LV","Tarsalis",417,32,13.03
"272",2020,26,"NE","All",100,10,10
"273",2020,26,"NE","Pipiens",11,10,1.1
"274",2020,26,"NE","Tarsalis",89,10,8.9
"275",2020,26,"NW","All",54,8,6.75
"276",2020,26,"NW","Pipiens",34,8,4.25
"277",2020,26,"NW","Tarsalis",20,8,2.5
"278",2020,26,"SE","All",293,15,19.53
"279",2020,26,"SE","Pipiens",22,15,1.47
"280",2020,26,"SE","Tarsalis",271,15,18.07
"281",2020,26,"SW","All",50,6,8.33
"282",2020,26,"SW","Pipiens",14,6,2.33
"283",2020,26,"SW","Tarsalis",36,6,6
"284",2020,27,"BE","All",27,3,9
"285",2020,27,"BE","Pipiens",1,3,0.33
"286",2020,27,"BE","Tarsalis",26,3,8.67
"287",2020,27,"LV","All",1091,36,30.31
"288",2020,27,"LV","Pipiens",60,36,1.67
"289",2020,27,"LV","Tarsalis",1031,36,28.64
"290",2020,27,"NE","All",252,10,25.2
"291",2020,27,"NE","Pipiens",34,10,3.4
"292",2020,27,"NE","Tarsalis",218,10,21.8
"293",2020,27,"NW","All",112,7,16
"294",2020,27,"NW","Pipiens",28,7,4
"295",2020,27,"NW","Tarsalis",84,7,12
"296",2020,27,"SE","All",330,15,22
"297",2020,27,"SE","Pipiens",28,15,1.87
"298",2020,27,"SE","Tarsalis",302,15,20.13
"299",2020,27,"SW","All",106,8,13.25
"300",2020,27,"SW","Pipiens",20,8,2.5
"301",2020,27,"SW","Tarsalis",86,8,10.75
"302",2020,28,"BE","All",23,3,7.67
"303",2020,28,"BE","Pipiens",6,3,2
"304",2020,28,"BE","Tarsalis",17,3,5.67
"305",2020,28,"LV","All",738,35,21.09
"306",2020,28,"LV","Pipiens",70,35,2
"307",2020,28,"LV","Tarsalis",668,35,19.09
"308",2020,28,"NE","All",336,10,33.6
"309",2020,28,"NE","Pipiens",29,10,2.9
"310",2020,28,"NE","Tarsalis",307,10,30.7
"311",2020,28,"NW","All",92,7,13.14
"312",2020,28,"NW","Pipiens",48,7,6.86
"313",2020,28,"NW","Tarsalis",44,7,6.29
"314",2020,28,"SE","All",257,14,18.36
"315",2020,28,"SE","Pipiens",37,14,2.64
"316",2020,28,"SE","Tarsalis",220,14,15.71
"317",2020,28,"SW","All",150,7,21.43
"318",2020,28,"SW","Pipiens",11,7,1.57
"319",2020,28,"SW","Tarsalis",139,7,19.86
"320",2020,29,"BE","All",32,5,6.4
"321",2020,29,"BE","Pipiens",7,5,1.4
"322",2020,29,"BE","Tarsalis",25,5,5
"323",2020,29,"LV","All",758,36,21.06
"324",2020,29,"LV","Pipiens",90,36,2.5
"325",2020,29,"LV","Tarsalis",668,36,18.56
"326",2020,29,"NE","All",348,10,34.8
"327",2020,29,"NE","Pipiens",32,10,3.2
"328",2020,29,"NE","Tarsalis",316,10,31.6
"329",2020,29,"NW","All",236,8,29.5
"330",2020,29,"NW","Pipiens",37,8,4.62
"331",2020,29,"NW","Tarsalis",199,8,24.88
"332",2020,29,"SE","All",634,15,42.27
"333",2020,29,"SE","Pipiens",44,15,2.93
"334",2020,29,"SE","Tarsalis",590,15,39.33
"335",2020,29,"SW","All",94,9,10.44
"336",2020,29,"SW","Pipiens",8,9,0.89
"337",2020,29,"SW","Tarsalis",86,9,9.56
"338",2020,30,"BE","All",43,5,8.6
"339",2020,30,"BE","Pipiens",1,5,0.2
"340",2020,30,"BE","Tarsalis",42,5,8.4
"341",2020,30,"LV","All",1295,37,35
"342",2020,30,"LV","Pipiens",31,37,0.84
"343",2020,30,"LV","Tarsalis",1264,37,34.16
"344",2020,30,"NE","All",320,10,32
"345",2020,30,"NE","Pipiens",85,10,8.5
"346",2020,30,"NE","Tarsalis",235,10,23.5
"347",2020,30,"NW","All",188,9,20.89
"348",2020,30,"NW","Pipiens",92,9,10.22
"349",2020,30,"NW","Tarsalis",96,9,10.67
"350",2020,30,"SE","All",867,15,57.8
"351",2020,30,"SE","Pipiens",215,15,14.33
"352",2020,30,"SE","Tarsalis",652,15,43.47
"353",2020,30,"SW","All",209,8,26.12
"354",2020,30,"SW","Pipiens",29,8,3.62
"355",2020,30,"SW","Tarsalis",180,8,22.5
"356",2020,31,"BE","All",57,4,14.25
"357",2020,31,"BE","Pipiens",15,4,3.75
"358",2020,31,"BE","Tarsalis",42,4,10.5
"359",2020,31,"LV","All",872,36,24.22
"360",2020,31,"LV","Pipiens",58,36,1.61
"361",2020,31,"LV","Tarsalis",814,36,22.61
"362",2020,31,"NE","All",560,10,56
"363",2020,31,"NE","Pipiens",181,10,18.1
"364",2020,31,"NE","Tarsalis",379,10,37.9
"365",2020,31,"NW","All",198,9,22
"366",2020,31,"NW","Pipiens",77,9,8.56
"367",2020,31,"NW","Tarsalis",121,9,13.44
"368",2020,31,"SE","All",821,15,54.73
"369",2020,31,"SE","Pipiens",224,15,14.93
"370",2020,31,"SE","Tarsalis",597,15,39.8
"371",2020,31,"SW","All",175,8,21.88
"372",2020,31,"SW","Pipiens",19,8,2.38
"373",2020,31,"SW","Tarsalis",156,8,19.5
"374",2020,32,"BE","All",53,5,10.6
"375",2020,32,"BE","Pipiens",2,5,0.4
"376",2020,32,"BE","Tarsalis",51,5,10.2
"377",2020,32,"LV","All",1143,36,31.75
"378",2020,32,"LV","Pipiens",44,36,1.22
"379",2020,32,"LV","Tarsalis",1099,36,30.53
"380",2020,32,"NE","All",646,10,64.6
"381",2020,32,"NE","Pipiens",114,10,11.4
"382",2020,32,"NE","Tarsalis",532,10,53.2
"383",2020,32,"NW","All",182,9,20.22
"384",2020,32,"NW","Pipiens",58,9,6.44
"385",2020,32,"NW","Tarsalis",124,9,13.78
"386",2020,32,"SE","All",760,14,54.29
"387",2020,32,"SE","Pipiens",401,14,28.64
"388",2020,32,"SE","Tarsalis",359,14,25.64
"389",2020,32,"SW","All",216,8,27
"390",2020,32,"SW","Pipiens",72,8,9
"391",2020,32,"SW","Tarsalis",144,8,18
"392",2020,33,"BE","All",58,5,11.6
"393",2020,33,"BE","Pipiens",6,5,1.2
"394",2020,33,"BE","Tarsalis",52,5,10.4
"395",2020,33,"LV","All",791,36,21.97
"396",2020,33,"LV","Pipiens",22,36,0.61
"397",2020,33,"LV","Tarsalis",769,36,21.36
"398",2020,33,"NE","All",555,10,55.5
"399",2020,33,"NE","Pipiens",174,10,17.4
"400",2020,33,"NE","Tarsalis",381,10,38.1
"401",2020,33,"NW","All",203,8,25.38
"402",2020,33,"NW","Pipiens",92,8,11.5
"403",2020,33,"NW","Tarsalis",111,8,13.88
"404",2020,33,"SE","All",684,15,45.6
"405",2020,33,"SE","Pipiens",309,15,20.6
"406",2020,33,"SE","Tarsalis",375,15,25
"407",2020,33,"SW","All",192,9,21.33
"408",2020,33,"SW","Pipiens",75,9,8.33
"409",2020,33,"SW","Tarsalis",117,9,13
"410",2020,34,"BE","All",37,4,9.25
"411",2020,34,"BE","Pipiens",5,4,1.25
"412",2020,34,"BE","Tarsalis",32,4,8
"413",2020,34,"LV","All",456,36,12.67
"414",2020,34,"LV","Pipiens",21,36,0.58
"415",2020,34,"LV","Tarsalis",435,36,12.08
"416",2020,34,"NE","All",423,9,47
"417",2020,34,"NE","Pipiens",246,9,27.33
"418",2020,34,"NE","Tarsalis",177,9,19.67
"419",2020,34,"NW","All",151,7,21.57
"420",2020,34,"NW","Pipiens",115,7,16.43
"421",2020,34,"NW","Tarsalis",36,7,5.14
"422",2020,34,"SE","All",452,15,30.13
"423",2020,34,"SE","Pipiens",225,15,15
"424",2020,34,"SE","Tarsalis",227,15,15.13
"425",2020,34,"SW","All",121,6,20.17
"426",2020,34,"SW","Pipiens",70,6,11.67
"427",2020,34,"SW","Tarsalis",51,6,8.5
"428",2020,35,"LV","All",97,11,8.82
"429",2020,35,"LV","Pipiens",34,11,3.09
"430",2020,35,"LV","Tarsalis",63,11,5.73
"431",2020,35,"NE","All",12,3,4
"432",2020,35,"NE","Pipiens",4,3,1.33
"433",2020,35,"NE","Tarsalis",8,3,2.67
"434",2020,35,"NW","All",75,6,12.5
"435",2020,35,"NW","Pipiens",70,6,11.67
"436",2020,35,"NW","Tarsalis",5,6,0.83
"437",2020,35,"SE","All",52,7,7.43
"438",2020,35,"SE","Pipiens",33,7,4.71
"439",2020,35,"SE","Tarsalis",19,7,2.71
"440",2020,35,"SW","All",19,3,6.33
"441",2020,35,"SW","Pipiens",12,3,4
"442",2020,35,"SW","Tarsalis",7,3,2.33
"443",2020,36,"SE","All",7,1,7
"444",2020,36,"SE","Tarsalis",7,1,7
"445",2020,36,"SW","All",13,2,6.5
"446",2020,36,"SW","Pipiens",10,2,5
"447",2020,36,"SW","Tarsalis",3,2,1.5
"448",2021,23,"BE","All",77,3,25.67
"449",2021,23,"BE","Pipiens",1,3,0.33
"450",2021,23,"BE","Tarsalis",76,3,25.33
"451",2021,23,"LV","All",583,33,17.67
"452",2021,23,"LV","Pipiens",18,33,0.55
"453",2021,23,"LV","Tarsalis",565,33,17.12
"454",2021,24,"BC","All",81,4,20.25
"455",2021,24,"BC","Tarsalis",81,4,20.25
"456",2021,24,"BE","All",224,4,56
"457",2021,24,"BE","Pipiens",1,4,0.25
"458",2021,24,"BE","Tarsalis",223,4,55.75
"459",2021,24,"LV","All",965,33,29.24
"460",2021,24,"LV","Pipiens",30,33,0.91
"461",2021,24,"LV","Tarsalis",935,33,28.33
"462",2021,25,"BC","All",87,6,14.5
"463",2021,25,"BC","Tarsalis",87,6,14.5
"464",2021,25,"BE","All",191,5,38.2
"465",2021,25,"BE","Pipiens",3,5,0.6
"466",2021,25,"BE","Tarsalis",188,5,37.6
"467",2021,25,"LV","All",1340,34,39.41
"468",2021,25,"LV","Pipiens",49,34,1.44
"469",2021,25,"LV","Tarsalis",1291,34,37.97
"470",2021,25,"NE","All",117,8,14.62
"471",2021,25,"NE","Pipiens",12,8,1.5
"472",2021,25,"NE","Tarsalis",105,8,13.12
"473",2021,25,"NW","All",61,7,8.71
"474",2021,25,"NW","Pipiens",12,7,1.71
"475",2021,25,"NW","Tarsalis",49,7,7
"476",2021,25,"SE","All",533,14,38.07
"477",2021,25,"SE","Pipiens",31,14,2.21
"478",2021,25,"SE","Tarsalis",502,14,35.86
"479",2021,25,"SW","All",52,6,8.67
"480",2021,25,"SW","Pipiens",1,6,0.17
"481",2021,25,"SW","Tarsalis",51,6,8.5
"482",2021,26,"BC","All",26,5,5.2
"483",2021,26,"BC","Tarsalis",26,5,5.2
"484",2021,26,"BE","All",194,4,48.5
"485",2021,26,"BE","Pipiens",12,4,3
"486",2021,26,"BE","Tarsalis",182,4,45.5
"487",2021,26,"LV","All",2253,34,66.26
"488",2021,26,"LV","Pipiens",152,34,4.47
"489",2021,26,"LV","Tarsalis",2101,34,61.79
"490",2021,26,"NE","All",466,9,51.78
"491",2021,26,"NE","Pipiens",49,9,5.44
"492",2021,26,"NE","Tarsalis",417,9,46.33
"493",2021,26,"NW","All",277,9,30.78
"494",2021,26,"NW","Pipiens",77,9,8.56
"495",2021,26,"NW","Tarsalis",200,9,22.22
"496",2021,26,"SE","All",377,14,26.93
"497",2021,26,"SE","Pipiens",62,14,4.43
"498",2021,26,"SE","Tarsalis",315,14,22.5
"499",2021,26,"SW","All",125,9,13.89
"500",2021,26,"SW","Pipiens",18,9,2
"501",2021,26,"SW","Tarsalis",107,9,11.89
"502",2021,27,"BC","All",155,5,31
"503",2021,27,"BC","Tarsalis",155,5,31
"504",2021,27,"BE","All",664,5,132.8
"505",2021,27,"BE","Pipiens",46,5,9.2
"506",2021,27,"BE","Tarsalis",618,5,123.6
"507",2021,27,"LV","All",5805,35,165.86
"508",2021,27,"LV","Pipiens",256,35,7.31
"509",2021,27,"LV","Tarsalis",5549,35,158.54
"510",2021,27,"NE","All",1121,10,112.1
"511",2021,27,"NE","Pipiens",95,10,9.5
"512",2021,27,"NE","Tarsalis",1026,10,102.6
"513",2021,27,"NW","All",690,9,76.67
"514",2021,27,"NW","Pipiens",129,9,14.33
"515",2021,27,"NW","Tarsalis",561,9,62.33
"516",2021,27,"SE","All",780,14,55.71
"517",2021,27,"SE","Pipiens",43,14,3.07
"518",2021,27,"SE","Tarsalis",737,14,52.64
"519",2021,27,"SW","All",274,9,30.44
"520",2021,27,"SW","Pipiens",43,9,4.78
"521",2021,27,"SW","Tarsalis",231,9,25.67
"522",2021,28,"BC","All",127,5,25.4
"523",2021,28,"BC","Tarsalis",127,5,25.4
"524",2021,28,"BE","All",729,5,145.8
"525",2021,28,"BE","Pipiens",79,5,15.8
"526",2021,28,"BE","Tarsalis",650,5,130
"527",2021,28,"LV","All",8409,36,233.58
"528",2021,28,"LV","Pipiens",290,36,8.06
"529",2021,28,"LV","Tarsalis",8119,36,225.53
"530",2021,28,"NE","All",1317,9,146.33
"531",2021,28,"NE","Pipiens",99,9,11
"532",2021,28,"NE","Tarsalis",1218,9,135.33
"533",2021,28,"NW","All",437,9,48.56
"534",2021,28,"NW","Pipiens",41,9,4.56
"535",2021,28,"NW","Tarsalis",396,9,44
"536",2021,28,"SE","All",2631,15,175.4
"537",2021,28,"SE","Pipiens",197,15,13.13
"538",2021,28,"SE","Tarsalis",2434,15,162.27
"539",2021,28,"SW","All",283,8,35.38
"540",2021,28,"SW","Pipiens",21,8,2.62
"541",2021,28,"SW","Tarsalis",262,8,32.75
"542",2021,29,"BC","All",176,5,35.2
"543",2021,29,"BC","Tarsalis",176,5,35.2
"544",2021,29,"BE","All",514,5,102.8
"545",2021,29,"BE","Pipiens",22,5,4.4
"546",2021,29,"BE","Tarsalis",492,5,98.4
"547",2021,29,"LV","All",5227,37,141.27
"548",2021,29,"LV","Pipiens",340,37,9.19
"549",2021,29,"LV","Tarsalis",4887,37,132.08
"550",2021,29,"NE","All",1468,10,146.8
"551",2021,29,"NE","Pipiens",323,10,32.3
"552",2021,29,"NE","Tarsalis",1145,10,114.5
"553",2021,29,"NW","All",666,9,74
"554",2021,29,"NW","Pipiens",51,9,5.67
"555",2021,29,"NW","Tarsalis",615,9,68.33
"556",2021,29,"SE","All",2241,15,149.4
"557",2021,29,"SE","Pipiens",303,15,20.2
"558",2021,29,"SE","Tarsalis",1938,15,129.2
"559",2021,29,"SW","All",120,6,20
"560",2021,29,"SW","Pipiens",13,6,2.17
"561",2021,29,"SW","Tarsalis",107,6,17.83
"562",2021,30,"BC","All",254,5,50.8
"563",2021,30,"BC","Tarsalis",254,5,50.8
"564",2021,30,"BE","All",1100,5,220
