trap_id,year,week,zone,spp,total
LV-074,2024,25,LV,Tarsalis,5
LV-074gr,2024,25,LV,Pipiens,7
LV-077,2024,25,LV,Pipiens,1
LV-089,2024,25,LV,Tarsalis,5
LV-100,2024,25,LV,Tarsalis,1
LV-104,2024,25,LV,Pipiens,1
LV-104,2024,25,LV,Tarsalis,9
LV-110,2024,25,LV,Tarsalis,13
LV-110,2024,25,LV,Pipiens,1
LV-112,2024,25,LV,Tarsalis,16
LV-113,2024,25,LV,Tarsalis,4
LV-118,2024,25,LV,Tarsalis,2
LV-118,2024,25,LV,Pipiens,3
LV-124,2024,25,LV,Tarsalis,9
LV-125,2024,25,LV,Tarsalis,6
LV-125,2024,25,LV,Pipiens,2
LV-020,2024,25,LV,Tarsalis,57
LV-021,2024,25,LV,Tarsalis,1
LV-042,2024,25,LV,Tarsalis,4
LV-067,2024,25,LV,Tarsalis,3
LV-087,2024,25,LV,Tarsalis,3
LV-114,2024,25,LV,Tarsalis,25
LV-114,2024,25,LV,Pipiens,1
LV-120,2024,25,LV,Tarsalis,2
LV-010gr,2024,25,LV,Pipiens,4
LV-014,2024,25,LV,Pipiens,1
LV-097,2024,25,LV,Pipiens,4
LV-097,2024,25,LV,Tarsalis,1
LV-122,2024,25,LV,Pipiens,1
LC-010,2024,25,TT,Tarsalis,2
LC-022,2024,25,TT,Tarsalis,1
LC-048,2024,25,TT,Tarsalis,10
LC-050,2024,25,TT,Tarsalis,7
LC-051,2024,25,TT,Tarsalis,12
LC-057,2024,25,TT,Tarsalis,14
LC-001,2024,26,BE,Pipiens,3
LC-001,2024,26,BE,Tarsalis,16
LC-049,2024,26,BE,Tarsalis,8
LC-053,2024,26,BE,Pipiens,2
LC-053,2024,26,BE,Tarsalis,42
LC-054,2024,26,BE,Pipiens,2
LC-054,2024,26,BE,Tarsalis,58
WC-055,2024,26,BE,Tarsalis,1
FC-006,2024,26,NE,Pipiens,1
FC-006,2024,26,NE,Tarsalis,5
FC-014,2024,26,NE,Tarsalis,19
FC-019,2024,26,NE,Tarsalis,6
FC-034,2024,26,NE,Pipiens,1
FC-034,2024,26,NE,Tarsalis,24
FC-036,2024,26,NW,Pipiens,7
FC-036,2024,26,NW,Tarsalis,21
FC-038,2024,26,NE,Tarsalis,94
FC-038,2024,26,NE,Pipiens,10
FC-040,2024,26,NE,Pipiens,3
FC-040,2024,26,NE,Tarsalis,29
FC-040gr,2024,26,NE,Tarsalis,4
FC-040gr,2024,26,NE,Pipiens,80
FC-066,2024,26,NE,Tarsalis,59
FC-066,2024,26,NE,Pipiens,8
FC-066gr,2024,26,NE,Pipiens,1
FC-067,2024,26,NE,Tarsalis,3
FC-069,2024,26,NE,Tarsalis,12
FC-072,2024,26,NE,Tarsalis,13
FC-072,2024,26,NE,Pipiens,3
FC-091gr,2024,26,NE,Pipiens,6
FC-091gr,2024,26,NE,Tarsalis,1
FC-092gr,2024,26,NE,Pipiens,22
FC-004,2024,26,SE,Pipiens,8
FC-004,2024,26,SE,Tarsalis,41
FC-023,2024,26,SE,Tarsalis,2
FC-023,2024,26,SE,Pipiens,1
FC-027,2024,26,SE,Tarsalis,3
FC-027,2024,26,SE,Pipiens,2
FC-031,2024,26,SE,Tarsalis,17
FC-039,2024,26,SE,Tarsalis,3
FC-046,2024,26,SE,Tarsalis,6
FC-046,2024,26,SE,Pipiens,1
FC-047,2024,26,SE,Tarsalis,7
FC-050,2024,26,SE,Pipiens,3
FC-050,2024,26,SE,Tarsalis,2
FC-053,2024,26,SE,Tarsalis,29
FC-059,2024,26,SE,Tarsalis,2
FC-064,2024,26,SE,Tarsalis,52
FC-064,2024,26,SE,Pipiens,6
FC-074,2024,26,SE,Pipiens,1
FC-074,2024,26,SE,Tarsalis,38
FC-075,2024,26,SE,Tarsalis,3
FC-075gr,2024,26,SE,NA,0
FC-088gr,2024,26,SE,Pipiens,5
FC-011,2024,26,NW,Pipiens,8
FC-015,2024,26,NW,Pipiens,3
FC-015,2024,26,NW,Tarsalis,1
FC-041,2024,26,NW,NA,0
FC-052,2024,26,NW,Tarsalis,7
FC-052,2024,26,NW,Pipiens,1
FC-058,2024,26,SW,Pipiens,1
FC-060,2024,26,NW,Tarsalis,1
FC-060,2024,26,NW,Pipiens,3
FC-061,2024,26,NW,Tarsalis,10
FC-061,2024,26,NW,Pipiens,6
FC-063,2024,26,NW,Tarsalis,1
FC-063gr,2024,26,NW,Pipiens,10
FC-073,2024,26,NW,Tarsalis,2
FC-073,2024,26,NW,Pipiens,1
FC-090gr,2024,26,NW,Pipiens,52
FC-001,2024,26,SW,Pipiens,1
FC-001,2024,26,SW,Tarsalis,3
FC-029,2024,26,SE,Tarsalis,4
FC-029gr,2024,26,SE,Pipiens,18
FC-037,2024,26,SW,Tarsalis,7
FC-037,2024,26,SW,Pipiens,1
FC-054,2024,26,SE,Tarsalis,3
FC-062,2024,26,SW,Tarsalis,1
FC-068,2024,26,SW,Pipiens,1
FC-068,2024,26,SW,Tarsalis,2
FC-071,2024,26,SW,Pipiens,1
FC-071,2024,26,SW,Tarsalis,2
FC-089gr,2024,26,SW,Pipiens,13
FC-093,2024,26,SW,Pipiens,1
FC-093,2024,26,SW,Tarsalis,2
LV-004,2024,26,LV,Pipiens,2
LV-004,2024,26,LV,Tarsalis,5
LV-066,2024,26,LV,Tarsalis,3
LV-069,2024,26,LV,Tarsalis,3
LV-078,2024,26,LV,Tarsalis,8
LV-079gr,2024,26,LV,Pipiens,32
LV-080,2024,26,LV,Tarsalis,18
LV-080,2024,26,LV,Pipiens,3
LV-088,2024,26,LV,Pipiens,2
LV-088,2024,26,LV,Tarsalis,46
LV-093,2024,26,LV,Tarsalis,2
LV-095,2024,26,LV,Tarsalis,16
LV-116,2024,26,LV,Pipiens,2
LV-116,2024,26,LV,Tarsalis,2
LV-117,2024,26,LV,Tarsalis,20
LV-074,2024,26,LV,Tarsalis,15
LV-074,2024,26,LV,Pipiens,1
LV-074gr,2024,26,LV,Pipiens,8
LV-077,2024,26,LV,Tarsalis,3
LV-089,2024,26,LV,Pipiens,2
LV-089,2024,26,LV,Tarsalis,60
LV-100,2024,26,LV,Tarsalis,3
LV-104,2024,26,LV,Tarsalis,45
LV-104,2024,26,LV,Pipiens,6
LV-110,2024,26,LV,Tarsalis,8
LV-112,2024,26,LV,Pipiens,3
LV-112,2024,26,LV,Tarsalis,23
LV-113,2024,26,LV,Tarsalis,4
LV-118,2024,26,LV,Tarsalis,5
LV-118,2024,26,LV,Pipiens,1
LV-124,2024,26,LV,Tarsalis,18
LV-125,2024,26,LV,Pipiens,2
LV-125,2024,26,LV,Tarsalis,13
LV-020,2024,26,LV,Tarsalis,66
LV-021,2024,26,LV,Tarsalis,7
LV-042,2024,26,LV,Tarsalis,29
LV-067,2024,26,LV,Tarsalis,9
LV-087,2024,26,LV,Tarsalis,10
LV-087,2024,26,LV,Pipiens,1
LV-114,2024,26,LV,Tarsalis,50
LV-120,2024,26,LV,Tarsalis,12
LV-120,2024,26,LV,Pipiens,1
LV-010gr,2024,26,LV,Pipiens,15
LV-014,2024,26,LV,Pipiens,4
LV-014,2024,26,LV,Tarsalis,6
LV-097,2024,26,LV,Tarsalis,2
LV-098,2024,26,LV,Pipiens,1
LV-098,2024,26,LV,Tarsalis,3
LV-102,2024,26,LV,Tarsalis,2
LV-102,2024,26,LV,Pipiens,5
LV-105,2024,26,LV,Tarsalis,2
LV-122,2024,26,LV,Pipiens,2
LC-010,2024,26,TT,Tarsalis,16
LC-022,2024,26,TT,Tarsalis,11
LC-050,2024,26,TT,Tarsalis,64
LC-050,2024,26,TT,Pipiens,48
LC-051,2024,26,TT,Tarsalis,9
LC-051,2024,26,TT,Pipiens,1
LC-052,2024,26,TT,Tarsalis,64
LC-057,2024,26,TT,Tarsalis,40
LC-001,2024,27,BE,Tarsalis,42
LC-001,2024,27,BE,Pipiens,14
LC-049,2024,27,BE,Pipiens,1
LC-049,2024,27,BE,Tarsalis,6
LC-053,2024,27,BE,Tarsalis,55
LC-054,2024,27,BE,Tarsalis,44
LC-054,2024,27,BE,Pipiens,1
WC-055,2024,27,BE,Tarsalis,2
FC-006,2024,27,NE,Pipiens,1
FC-014,2024,27,NE,Tarsalis,11
FC-019,2024,27,NE,Tarsalis,5
FC-019,2024,27,NE,Pipiens,5
FC-034,2024,27,NE,Tarsalis,23
FC-036,2024,27,NW,Pipiens,15
FC-036,2024,27,NW,Tarsalis,18
FC-038,2024,27,NE,Tarsalis,31
FC-040,2024,27,NE,Tarsalis,15
FC-040,2024,27,NE,Pipiens,3
FC-040gr,2024,27,NE,Pipiens,158
FC-066,2024,27,NE,Pipiens,12
FC-066,2024,27,NE,Tarsalis,47
FC-066gr,2024,27,NE,Pipiens,9
FC-067,2024,27,NE,Tarsalis,1
FC-069,2024,27,NE,Tarsalis,17
FC-069,2024,27,NE,Pipiens,1
FC-072,2024,27,NE,Pipiens,14
FC-072,2024,27,NE,Tarsalis,17
FC-091gr,2024,27,NE,Pipiens,17
FC-091gr,2024,27,NE,Tarsalis,1
FC-092gr,2024,27,NE,Pipiens,7
FC-004,2024,27,SE,Tarsalis,14
FC-004,2024,27,SE,Pipiens,3
FC-011,2024,27,NW,Tarsalis,2
FC-011,2024,27,NW,Pipiens,4
FC-015,2024,27,NW,Tarsalis,1
FC-015,2024,27,NW,Pipiens,1
FC-023,2024,27,SE,Pipiens,3
FC-023,2024,27,SE,Tarsalis,5
FC-027,2024,27,SE,Tarsalis,12
FC-027,2024,27,SE,Pipiens,1
FC-031,2024,27,SE,Pipiens,4
FC-031,2024,27,SE,Tarsalis,11
FC-039,2024,27,SE,Tarsalis,30
FC-041,2024,27,NW,Tarsalis,1
FC-041,2024,27,NW,Pipiens,1
FC-046,2024,27,SE,Tarsalis,5
FC-046,2024,27,SE,Pipiens,1
FC-047,2024,27,SE,Tarsalis,6
FC-047,2024,27,SE,Pipiens,1
FC-049,2024,27,SW,Pipiens,2
FC-050,2024,27,SE,Tarsalis,3
FC-052,2024,27,NW,Tarsalis,1
FC-052,2024,27,NW,Pipiens,1
FC-053,2024,27,SE,Tarsalis,11
FC-060,2024,27,NW,Tarsalis,1
FC-061,2024,27,NW,Tarsalis,7
FC-061,2024,27,NW,Pipiens,5
FC-063gr,2024,27,NW,Pipiens,6
FC-064,2024,27,SE,Pipiens,3
FC-064,2024,27,SE,Tarsalis,15
FC-073,2024,27,NW,Pipiens,3
FC-074,2024,27,SE,Tarsalis,4
FC-075,2024,27,SE,Tarsalis,2
FC-075,2024,27,SE,Pipiens,3
FC-075gr,2024,27,SE,Pipiens,13
FC-088gr,2024,27,SE,Pipiens,64
FC-090gr,2024,27,NW,Pipiens,20
FC-029,2024,27,SE,Tarsalis,4
FC-029,2024,27,SE,Pipiens,2
FC-029gr,2024,27,SE,NA,0
FC-037,2024,27,SW,Pipiens,1
FC-037,2024,27,SW,Tarsalis,5
FC-054,2024,27,SE,Tarsalis,5
FC-057,2024,27,SW,Tarsalis,3
FC-062,2024,27,SW,Pipiens,4
FC-068,2024,27,SW,Tarsalis,1
FC-071,2024,27,SW,Pipiens,1
FC-089gr,2024,27,SW,Pipiens,7
FC-093,2024,27,SW,Tarsalis,1
LV-004,2024,27,LV,Tarsalis,7
LV-066,2024,27,LV,Tarsalis,4
LV-069,2024,27,LV,Tarsalis,1
LV-078,2024,27,LV,Tarsalis,3
LV-079gr,2024,27,LV,Pipiens,7
LV-079gr,2024,27,LV,Tarsalis,1
LV-080,2024,27,LV,Tarsalis,13
LV-088,2024,27,LV,Tarsalis,32
LV-088,2024,27,LV,Pipiens,2
LV-093,2024,27,LV,Pipiens,2
LV-093,2024,27,LV,Tarsalis,2
LV-095,2024,27,LV,Tarsalis,18
LV-116,2024,27,LV,Pipiens,4
LV-116,2024,27,LV,Tarsalis,1
LV-117,2024,27,LV,NA,0
LV-074,2024,27,LV,Pipiens,2
LV-074,2024,27,LV,Tarsalis,9
LV-074gr,2024,27,LV,Pipiens,22
LV-077,2024,27,LV,Tarsalis,2
LV-089,2024,27,LV,Tarsalis,70
LV-104,2024,27,LV,Pipiens,4
LV-104,2024,27,LV,Tarsalis,34
LV-110,2024,27,LV,Pipiens,3
LV-110,2024,27,LV,Tarsalis,13
LV-112,2024,27,LV,Pipiens,7
LV-112,2024,27,LV,Tarsalis,69
LV-113,2024,27,LV,Tarsalis,6
LV-118,2024,27,LV,Pipiens,3
LV-118,2024,27,LV,Tarsalis,7
LV-124,2024,27,LV,Tarsalis,13
LV-124,2024,27,LV,Pipiens,1
LV-125,2024,27,LV,Pipiens,1
LV-125,2024,27,LV,Tarsalis,4
LV-019,2024,27,LV,Tarsalis,6
LV-019,2024,27,LV,Pipiens,2
LV-020,2024,27,LV,Tarsalis,47
LV-021,2024,27,LV,Tarsalis,17
LV-021,2024,27,LV,Pipiens,4
LV-042,2024,27,LV,Tarsalis,14
LV-042,2024,27,LV,Pipiens,1
LV-067,2024,27,LV,Pipiens,3
LV-067,2024,27,LV,Tarsalis,7
LV-087,2024,27,LV,Tarsalis,39
LV-087,2024,27,LV,Pipiens,3
LV-114,2024,27,LV,Tarsalis,53
LV-114,2024,27,LV,Pipiens,1
LV-120,2024,27,LV,Tarsalis,36
LV-120,2024,27,LV,Pipiens,1
LC-010,2024,27,TT,Tarsalis,4
LC-022,2024,27,TT,Tarsalis,2
LC-048,2024,27,TT,Tarsalis,14
LC-051,2024,27,TT,Tarsalis,3
LC-052,2024,27,TT,Tarsalis,19
LC-057,2024,27,TT,Tarsalis,21
LC-001,2024,28,BE,Tarsalis,44
LC-001,2024,28,BE,Pipiens,7
LC-049,2024,28,BE,Tarsalis,41
LC-053,2024,28,BE,Tarsalis,12
LC-054,2024,28,BE,Pipiens,1
LC-054,2024,28,BE,Tarsalis,72
WC-055,2024,28,BE,Tarsalis,5
FC-006,2024,28,NE,Tarsalis,1
FC-014,2024,28,NE,Tarsalis,30
FC-014,2024,28,NE,Pipiens,5
FC-019,2024,28,NE,Pipiens,21
FC-019,2024,28,NE,Tarsalis,22
FC-034,2024,28,NE,Tarsalis,8
FC-036,2024,28,NW,Tarsalis,14
FC-036,2024,28,NW,Pipiens,10
FC-038,2024,28,NE,Tarsalis,14
FC-040,2024,28,NE,Tarsalis,23
FC-040,2024,28,NE,Pipiens,5
FC-040gr,2024,28,NE,Pipiens,38
FC-066,2024,28,NE,Tarsalis,25
FC-066,2024,28,NE,Pipiens,12
FC-066gr,2024,28,NE,Pipiens,4
FC-067,2024,28,NE,Tarsalis,1
FC-069,2024,28,NE,Tarsalis,2
FC-069,2024,28,NE,Pipiens,2
FC-072,2024,28,NE,Tarsalis,19
FC-072,2024,28,NE,Pipiens,15
FC-091gr,2024,28,NE,Pipiens,2
FC-092gr,2024,28,NE,Pipiens,9
FC-004,2024,28,SE,Pipiens,11
FC-004,2024,28,SE,Tarsalis,33
FC-023,2024,28,SE,Tarsalis,7
FC-023,2024,28,SE,Pipiens,1
FC-027,2024,28,SE,Pipiens,19
FC-027,2024,28,SE,Tarsalis,6
FC-031,2024,28,SE,Pipiens,3
FC-031,2024,28,SE,Tarsalis,97
FC-039,2024,28,SE,Tarsalis,7
FC-046,2024,28,SE,Pipiens,9
FC-046,2024,28,SE,Tarsalis,16
FC-047,2024,28,SE,Pipiens,2
FC-047,2024,28,SE,Tarsalis,11
FC-050,2024,28,SE,Tarsalis,3
FC-050,2024,28,SE,Pipiens,6
FC-053,2024,28,SE,Tarsalis,4
FC-059,2024,28,SE,NA,0
FC-064,2024,28,SE,Tarsalis,47
FC-064,2024,28,SE,Pipiens,20
FC-074,2024,28,SE,Pipiens,2
FC-074,2024,28,SE,Tarsalis,58
FC-075,2024,28,SE,Pipiens,6
FC-075,2024,28,SE,Tarsalis,7
FC-075gr,2024,28,SE,Pipiens,13
FC-088gr,2024,28,SE,Pipiens,63
FC-088gr,2024,28,SE,Tarsalis,1
FC-011,2024,28,NW,Pipiens,9
FC-011,2024,28,NW,Tarsalis,2
FC-015,2024,28,NW,Pipiens,2
FC-041,2024,28,NW,Tarsalis,4
FC-041,2024,28,NW,Pipiens,13
FC-049,2024,28,SW,Pipiens,13
FC-049,2024,28,SW,Tarsalis,13
FC-052,2024,28,NW,Pipiens,4
FC-052,2024,28,NW,Tarsalis,2
FC-058,2024,28,SW,Tarsalis,1
FC-058,2024,28,SW,Pipiens,2
FC-060,2024,28,NW,Tarsalis,5
FC-060,2024,28,NW,Pipiens,10
FC-061,2024,28,NW,Pipiens,24
FC-061,2024,28,NW,Tarsalis,49
FC-063,2024,28,NW,Pipiens,3
FC-063,2024,28,NW,Tarsalis,3
FC-063gr,2024,28,NW,Pipiens,16
FC-073,2024,28,NW,Pipiens,4
FC-073,2024,28,NW,Tarsalis,9
FC-090gr,2024,28,NW,Pipiens,53
FC-001,2024,28,SW,Tarsalis,9
FC-001,2024,28,SW,Pipiens,1
FC-029,2024,28,SE,Pipiens,3
FC-029,2024,28,SE,Tarsalis,9
FC-029gr,2024,28,SE,Pipiens,30
FC-037,2024,28,SW,Tarsalis,21
FC-054,2024,28,SE,NA,0
FC-057,2024,28,SW,Tarsalis,4
FC-057,2024,28,SW,Pipiens,1
FC-062,2024,28,SW,NA,0
FC-068,2024,28,SW,Pipiens,2
FC-068,2024,28,SW,Tarsalis,5
FC-071,2024,28,SW,Tarsalis,2
FC-089gr,2024,28,SW,Pipiens,23
FC-093,2024,28,SW,Tarsalis,19
FC-093,2024,28,SW,Pipiens,7
LV-004,2024,28,LV,Tarsalis,17
LV-004,2024,28,LV,Pipiens,6
LV-066,2024,28,LV,Tarsalis,6
LV-066,2024,28,LV,Pipiens,1
LV-069,2024,28,LV,Tarsalis,1
LV-078,2024,28,LV,Pipiens,2
LV-078,2024,28,LV,Tarsalis,30
LV-079gr,2024,28,LV,Pipiens,6
LV-079gr,2024,28,LV,Tarsalis,1
LV-080,2024,28,LV,Pipiens,13
LV-080,2024,28,LV,Tarsalis,43
LV-088,2024,28,LV,Tarsalis,10
LV-088,2024,28,LV,Pipiens,2
LV-093,2024,28,LV,Pipiens,9
LV-093,2024,28,LV,Tarsalis,8
LV-095,2024,28,LV,Pipiens,3
LV-095,2024,28,LV,Tarsalis,18
LV-116,2024,28,LV,Tarsalis,6
LV-116,2024,28,LV,Pipiens,1
LV-117,2024,28,LV,Pipiens,3
LV-117,2024,28,LV,Tarsalis,11
LV-074,2024,28,LV,Tarsalis,56
LV-074,2024,28,LV,Pipiens,14
LV-074gr,2024,28,LV,Pipiens,11
LV-077,2024,28,LV,Tarsalis,3
LV-089,2024,28,LV,Pipiens,13
LV-089,2024,28,LV,Tarsalis,84
LV-100,2024,28,LV,Tarsalis,3
LV-104,2024,28,LV,Tarsalis,48
LV-104,2024,28,LV,Pipiens,2
LV-110,2024,28,LV,Tarsalis,15
LV-110,2024,28,LV,Pipiens,5
LV-112,2024,28,LV,Pipiens,8
LV-112,2024,28,LV,Tarsalis,37
LV-113,2024,28,LV,Tarsalis,1
LV-118,2024,28,LV,Pipiens,7
LV-118,2024,28,LV,Tarsalis,7
LV-124,2024,28,LV,Pipiens,3
LV-124,2024,28,LV,Tarsalis,19
LV-125,2024,28,LV,Pipiens,3
LV-125,2024,28,LV,Tarsalis,22
LV-019,2024,28,LV,Tarsalis,6
LV-019,2024,28,LV,Pipiens,2
LV-020,2024,28,LV,Tarsalis,117
LV-021,2024,28,LV,Pipiens,1
LV-021,2024,28,LV,Tarsalis,9
LV-042,2024,28,LV,Pipiens,1
LV-042,2024,28,LV,Tarsalis,2
LV-067,2024,28,LV,Tarsalis,5
LV-067,2024,28,LV,Pipiens,1
LV-087,2024,28,LV,Pipiens,4
LV-087,2024,28,LV,Tarsalis,19
LV-120,2024,28,LV,Tarsalis,27
LV-010gr,2024,28,LV,Pipiens,19
LV-014,2024,28,LV,Pipiens,2
LV-014,2024,28,LV,Tarsalis,2
LV-097,2024,28,LV,Tarsalis,16
LV-097,2024,28,LV,Pipiens,2
LV-098,2024,28,LV,Tarsalis,5
LV-098,2024,28,LV,Pipiens,5
LV-099,2024,28,LV,Tarsalis,3
LV-102,2024,28,LV,Tarsalis,12
LV-102,2024,28,LV,Pipiens,8
LV-105,2024,28,LV,Pipiens,3
LV-105,2024,28,LV,Tarsalis,10
LV-122,2024,28,LV,Pipiens,10
LV-122,2024,28,LV,Tarsalis,8
LC-010,2024,28,TT,Pipiens,2
LC-010,2024,28,TT,Tarsalis,18
LC-022,2024,28,TT,Tarsalis,2
LC-048,2024,28,TT,Tarsalis,3
LC-050,2024,28,TT,Pipiens,2
LC-050,2024,28,TT,Tarsalis,3
LC-051,2024,28,TT,Tarsalis,8
LC-052,2024,28,TT,Tarsalis,34
LC-057,2024,28,TT,Tarsalis,18
LC-057,2024,28,TT,Pipiens,1
LC-001,2024,29,BE,Pipiens,31
LC-001,2024,29,BE,Tarsalis,188
LC-049,2024,29,BE,Tarsalis,78
LC-049,2024,29,BE,Pipiens,2
LC-053,2024,29,BE,Tarsalis,140
LC-054,2024,29,BE,Tarsalis,1
WC-055,2024,29,BE,Tarsalis,10
FC-006,2024,29,NE,Pipiens,7
FC-006,2024,29,NE,Tarsalis,12
FC-014,2024,29,NE,Tarsalis,52
FC-014,2024,29,NE,Pipiens,6
FC-019,2024,29,NE,Tarsalis,29
FC-019,2024,29,NE,Pipiens,9
FC-034,2024,29,NE,Tarsalis,13
FC-036,2024,29,NW,Tarsalis,89
FC-036,2024,29,NW,Pipiens,41
FC-038,2024,29,NE,Pipiens,2
FC-038,2024,29,NE,Tarsalis,42
FC-040,2024,29,NE,Tarsalis,9
FC-040,2024,29,NE,Pipiens,6
FC-040gr,2024,29,NE,Pipiens,105
FC-066,2024,29,NE,Tarsalis,110
FC-066,2024,29,NE,Pipiens,24
FC-066gr,2024,29,NE,Pipiens,30
FC-066gr,2024,29,NE,Tarsalis,1
FC-067,2024,29,NE,Tarsalis,4
FC-069,2024,29,NE,NA,0
FC-072,2024,29,NE,Tarsalis,18
FC-072,2024,29,NE,Pipiens,13
FC-091gr,2024,29,NE,Pipiens,9
FC-092gr,2024,29,NE,Pipiens,60
FC-004,2024,29,SE,Pipiens,17
FC-004,2024,29,SE,Tarsalis,35
FC-023,2024,29,SE,Pipiens,3
FC-023,2024,29,SE,Tarsalis,10
FC-027,2024,29,SE,Pipiens,7
FC-027,2024,29,SE,Tarsalis,16
FC-031,2024,29,SE,Tarsalis,27
FC-031,2024,29,SE,Pipiens,1
FC-039,2024,29,SE,Tarsalis,1
FC-046,2024,29,SE,Tarsalis,3
FC-046,2024,29,SE,Pipiens,1
FC-047,2024,29,SE,Tarsalis,15
FC-047,2024,29,SE,Pipiens,2
FC-050,2024,29,SE,Tarsalis,4
FC-050,2024,29,SE,Pipiens,4
FC-053,2024,29,SE,Tarsalis,55
FC-059,2024,29,SE,Tarsalis,5
FC-059,2024,29,SE,Pipiens,3
FC-064,2024,29,SE,Pipiens,5
FC-064,2024,29,SE,Tarsalis,14
FC-074,2024,29,SE,Tarsalis,20
FC-075,2024,29,SE,Pipiens,15
FC-075,2024,29,SE,Tarsalis,42
FC-075gr,2024,29,SE,Tarsalis,1
FC-075gr,2024,29,SE,Pipiens,15
FC-088gr,2024,29,SE,Tarsalis,2
FC-088gr,2024,29,SE,Pipiens,144
FC-011,2024,29,NW,Pipiens,3
FC-011,2024,29,NW,Tarsalis,11
FC-041,2024,29,NW,Tarsalis,6
FC-041,2024,29,NW,Pipiens,9
FC-049,2024,29,SW,Pipiens,6
FC-052,2024,29,NW,Pipiens,2
FC-052,2024,29,NW,Tarsalis,6
FC-058,2024,29,SW,Tarsalis,2
FC-060,2024,29,NW,Pipiens,3
FC-060,2024,29,NW,Tarsalis,3
FC-061,2024,29,NW,Tarsalis,23
FC-061,2024,29,NW,Pipiens,19
FC-063,2024,29,NW,Pipiens,4
FC-063,2024,29,NW,Tarsalis,3
FC-063gr,2024,29,NW,Pipiens,18
FC-073,2024,29,NW,Pipiens,10
FC-090gr,2024,29,NW,Pipiens,69
FC-090gr,2024,29,NW,Tarsalis,1
FC-001,2024,29,SW,Tarsalis,2
FC-001,2024,29,SW,Pipiens,1
FC-029,2024,29,SE,Tarsalis,21
FC-029,2024,29,SE,Pipiens,4
FC-029gr,2024,29,SE,Pipiens,12
FC-037,2024,29,SW,Tarsalis,15
FC-037,2024,29,SW,Pipiens,2
FC-054,2024,29,SE,Tarsalis,1
FC-062,2024,29,SW,Tarsalis,2
FC-062,2024,29,SW,Pipiens,5
FC-068,2024,29,SW,Tarsalis,3
FC-071,2024,29,SW,Pipiens,1
FC-089gr,2024,29,SW,Pipiens,29
FC-093,2024,29,SW,Tarsalis,2
